index,BuildingRatingDesc,BuildingClassDesc,StreetAddress,Quadrant,City,State,PostCode,Latitude,Longitude,MinRent,MaxRent,NumBedsMin,NumBedsMax,NumBathsMin,NumBathsMax,UnitMinSqFt,UnitMaxSqFt,NUMUNITS,MinLeaseTermsMonths,MaxLeaseTermsMonths,IsShortTermLeaseAvailableFlag,AYB,EYB,YR_RMDL,STORIES,GBA,LotSqFtTotal,Rooms-Kitchen,Rooms-Heating,Rooms-Range,Rooms-Refrigerator,Rooms-Oven,Rooms-Air Conditioning,Building-Elevator,Rooms-Wheelchair Accessible (Rooms),Building-Laundry Facilities,Rooms-Hardwood Floors,Rooms-Tub/Shower,Rooms-Cable Ready,Rooms-Dishwasher,Building-Property Manager on Site,Building-Fitness Center,Building-Doorman,Rooms-Stainless Steel Appliances,Building-Controlled Access,Rooms-Microwave,Building-Concierge,Rooms-Washer/Dryer,Rooms-Granite Countertops,Rooms-Balcony,Rooms-Views,Building-24 Hour Availability,Rooms-High Speed Internet Access,Building-Maintenance on site,Building-Security System,Rooms-Vaulted Ceiling,Building-On-Site Retail,Building-Bike Storage,Rooms-Walk-In Closets,Building-Courtyard,Rooms-Storage Units,Building-Pool,Building-Storage Space,Rooms-Tile Floors,Building-Rooftop Lounge,Building-Gameroom,Building-Package Service,Building-Lounge,Rooms-Fireplace,Building-Sundeck,Building-Playground,Building-Clubhouse,Rooms-Intercom,Rooms-Smoke Free,Rooms-Disposal,Rooms-Eat-in Kitchen,Building-Dry Cleaning Service,Rooms-Freezer,Rooms-Carpet,Building-Business Center,Building-Vintage Building,Building-Video Patrol,Rooms-Dining Room,Building-Spa,Building-Media Center/Movie Theatre,Building-Sauna,Building-Grill,Building-Recycling,Rooms-Wi-Fi,Building-Laundry Service,Rooms-Patio,Rooms-Deck,Building-Car Charging Station,Rooms-Window Coverings,Building-Breakfast/Coffee Concierge,Building-Pet Play Area,Rooms-Crown Molding,Building-Maid Service,Building-Basketball Court,Rooms-Office,Building-Gated,Building-Cardio Machines,Rooms-Pantry,Rooms-Bay Window,Building-Free Weights,Building-Furnished Units Available,Rooms-Garden,Rooms-Ceiling Fans,Building-Online Services,Rooms-Washer/Dryer Hookup,Rooms-Sprinkler System,Rooms-Alarm,Building-Waterfront,Rooms-Double Pane Windows,Building-Multi Use Room,Building-Trash Pickup - Curbside,Building-Weight Machines,Rooms-Ice Maker,Building-Library,Building-Health Club Facility,Building-Picnic Area,Building-Planned Social Activities,Building-Walking/Biking Trails,Rooms-Basement,Rooms-Double Vanities,Rooms-Satellite TV,Rooms-Linen Closet,Building-Trash Pickup - Door to Door,Building-Pet Care,Building-Renters Insurance Program,Rooms-Yard,Building-Fitness Programs,Note
0,2 Star,C,26 Lee Ave,,Takoma Park,MD,209124543,38.9798554,-77.0067179,635,710,1,2,1,1,600,750,100,,,,,,,4,79608,87991,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3 Star,C,214 Joshua Dr,,Martinsburg,WV,254044200,39.4853982,-77.9506996,496,531,1,2,1,1,428,605,46,,,,,,,2,42714,174667,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3 Star,B,11100 Church St,,Fairfax,VA,22030,38.859164,-77.3304348,2255,2255,3,3,2,2,1449,1449,20,,,,,2010,2010,2,34310,87120,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3 Star,C,3401 Pearl Dr,,Suitland,MD,207462127,38.841394,-76.926742,1186,1663,1,3,1,1,645,1057,327,,,,,,,3,372048,610711,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"???, a community of apartments in Suitland, MD, just a short drive from Washington, D.C. Located a short distance from the Suitland metro, life at ??? puts you within a convenient distance from some of the area's top locations, including the Andrews Air Force Base and the U.S. Census Bureau headquartered in the Suitland Federal Center. Our garden-style residences offer all of the amenities and essentials designed for stress-free living. Please call for an appointment today."
4,3 Star,B,3801 Connecticut Ave NW,NW,Washington,DC,20008,38.9393611,-77.0601394,1000,2100,0,1,1,1,472,833,307,,,,,,,9,238868,68180,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"??? offers incredibly spacious studio and one bedroom apartments on one of D.C.?s liveliest boulevards. Residents enjoy the convenience of restaurants, unique shops, and a plethora of activities and site seeing opportunities just walking distance from their homes. You?ll fall in love with the new in-unit renovations at this community, whether it is with the designer plank floors, detailed back-splashes or stainless steel appliances. With a metro stop a few blocks away, the options are limitless in these beautiful apartments!"
5,2 Star,B,2712 Wisconsin Ave NW,NW,Washington,DC,20007,38.9253347,-77.0736294,1495,2375,0,2,1,1,550,1000,110,,,,,,,8,98264,13068,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beautiful natural sunlight filled apartments from the windows of the huge living rooms and the bedrooms -Parquet hardwood floors and great kitchens. Amazing Location! Walking distance to Georgetown, Whole Foods/ CVS Pharmacy, Guy Mason Center, Starbucks, etc. Furnished rooftop deck with incredible 360' views of entire city. You can see as far as Clarendon, Bethesda, Silver Spring, and even downtown Washington from one of the highest elevations in the city."
6,2 Star,C,3801 33rd St,,Mount Rainier,MD,207122020,38.936719,-76.961771,,,1,1,1,1,,,12,,,,,,,3,3780,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4 Star,A,6210 Belcrest Rd,,Hyattsville,MD,20782,38.965215,-76.954359,1630,1973,0,3,1,2,448,1568,260,,,,,,,5,375525,239297,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"The ??? in Hyattsville, MD is located in fast-paced neighborhood bursting with shops, restaurants and entertainment. Located next door to the Prince George's Plaza Metro Green Line station, ??? blends sophistication and convenient transit-oriented living. Our spacious apartments feature hardwood floors, vaulted ceilings, gourmet kitchens and in-home washer and dryer. Residents enjoy spending time in our fitness center, swimming pool, theater room and resident game room. Ask about our new Reserved Parking Program."
8,2 Star,C,2600 Naylor Rd SE,SE,Washington,DC,200207256,38.8678723,-76.9702146,,,0,2,1,1,,,16,,,,,,,3,12452,13504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 Star,C,45970 Foxchase Dr,,Great Mills,MD,206342318,38.2558466,-76.4905338,885,1016,2,2,2,2,850,850,134,,,,,,,2,128022,476982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,3 Star,B,5425 Connecticut Ave NW,NW,Washington,DC,20015,38.9622495,-77.0735367,1585,2575,0,2,1,1,400,1090,95,12,12,,,,,5,69861,36590,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"*RENT SPECIAL: ONE MONTH FREE! ??? is located in one of the most sought after neighborhoods in Washington, D.C. and is within walking distance to the Friendship Heights Metro Stop, Wholefoods, Safeway, numerous dining options, shopping, and more. The building features spacious efficiency, one, and two-bedroom apartments with excellent floorplans and beautiful hardwood floors. Property amenities include brand new fitness center, garage parking, laundry facilities, and bike storage. Welcome home to ???. No pets allowed, except service animals at no extra charge. *Rental prices and specials are subject to change. **Advertised rental prices are after any applicable monthly concessions. ***Images depicted may not be of actual apartment for rent."
11,3 Star,B,100 Weston Ln,,Fredericksburg,VA,224012778,38.316457,-77.497087,920,1389,1,3,1,2,515,1164,246,,,,,,,3,274833,642074,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Newly Renovated Apartment Homes Available! *Income guidelines apply*Weston Circle and Wicklow Square Apartments take pride in making a home life that you want to come home to. Our award winning 1, 2 and 3 bedroom floor plan designs with huge closets are complete with designer kitchens and baths, as well as washers and dryers in select apartments. Youll love our amenities...the large pool is at the nicely furnished clubhouse that has a state-of-the-art fitness center, green playground areas, a tennis court and volleyball court are located in a park-like setting. Weston Circle and Wicklow Square Apartments is close to shopping malls, centers and Central Park will make your lifestyle easier here. The I-95 and the VRE are close by. Call today for more information!"
12,3 Star,B,42951 Summer Grove Ter,,Ashburn,VA,20148,38.9609259,-77.5206218,956,1262,1,2,1,2,760,1288,83,,,,2018,,,4,80000,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"*PRE LEASING FOR WINTER MOVE INS! Now Accepting Applications! *

??? is a Luxury 55+ Apartment Community that serves as an affordable option for prospective residents whose income falls between 40-60% of the Average Median Income. Student and minimum and maximum income restrictions apply and are dependent upon household size. Please refer to the income chart above. When applying all prospective residents must provide income and asset documentation along with applicable identification information."
13,3 Star,B,399 N Park Dr,,Arlington,VA,22203,38.8753321,-77.112752,1275,1600,1,2,1,1,700,800,156,,,,,,,2,124800,206840,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,3 Star,B,4105 Southern Ave,,Capitol Heights,MD,207436841,38.8645026,-76.9451317,1148,1806,0,2,1,2,486,1431,70,,,,,,,7,82551,54450,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"???'s mid-rise community has been well planned to meet your needs. Thanks to some thoughtful extras, you'll have more time to enjoy the important things - like the pool and a private balcony. ??? is a short Metro Bus ride from Capitol Hill."
15,2 Star,C,4220 9th St SE,SE,Washington,DC,200326000,38.831994,-76.990096,,,1,2,1,1,645,960,22,,,,,,,3,21024,24873,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,2 Star,C,5311-5323 E St SE,SE,Washington,DC,200196071,38.881708,-76.925821,878,1600,1,3,1,2,650,1300,152,,,,,,,3,130000,92909,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Welcome to ???. Elsinore Courtyard is a community deep within the heart of one of the District's oldest and most historic communities. Newly renovated, Elsinore Courtyard is located in Southeast DC. We are minutes away from Downtown and the Beltway. We offer affordable priced 1, 2 and 3 bedroom apartments."
17,3 Star,C,212 Cedar Ln SE,SE,Vienna,VA,22180,38.888217,-77.2448,1375,2019,1,3,1,2,900,1200,300,,,,,,,3,301000,220762,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"??? offers one of Northern Virginia's most desirable addresses. Convenient to great shopping at Tysons Corner, major employment centers, and I-66 and the Beltway, enjoy living in this community of spacious apartment homes."
18,3 Star,B,3850 Enfield Chase Ct,,Bowie,MD,20716,38.940347,-76.738749,1405,1936,1,2,1,2,703,1256,79,,,,,,,3,73374,188179,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"??? offers elegant, worry-free apartment homes for active adults, age 62 years and over. This thriving apartment community in Bowie, Maryland, which was recently named as one of Money Magazines Best Places to Live in 2014 (http://time.com/money/3312338/bowie-md-best-places-to-live/), is home to more than 80 seniors who enjoy a wide range of exercise and social activities. Our community has wonderful spaces, which provide excellent opportunities for you to interact with fellow residents. We hold many social events in our multi-purpose entertainment area, with adjoining kitchenette and open lounge area that features a gorgeous balcony. You can work up a sweat or enjoy a yoga class in the fitness center, or challenge a friend to a game in the billiards room. Enjoy the latest bestseller or a classic novel in the library or try out the latest hairstyle in the beauty salon. And if you need to meet with your physician for a check-up, we have a health suite. Choose from our numerous floor plans, which include one, two, or two bedroom with den layouts. Your individually-controlled heating and air-conditioning and wall-to-wall carpeting will provide comfort for you throughout the year. For your convenience, each home has a washer and dryer and 24-hour maintenance service is provided."
19,2 Star,C,5 E Mason Ave,,Alexandria,VA,223011983,38.8207843,-77.0625326,,,1,1,1,1,775,775,21,,,,,,,3,25000,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3 Star,C,105 Weems Ln,,Winchester,VA,226013603,39.1608618,-78.1777404,,,1,2,1,1,,,136,,,,,,,,129200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2 Star,B,325 Franklin St NE,NE,Washington,DC,20002,38.925294,-77.000885,1417,1417,0,2,1,1,500,900,39,,,,,,,3,32908,11779,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Franklin Street Apartments is located in the Edgewood neighborhood of Washington DC. The property is adjacent to Trinity Washington University and St. Pauls College as well as within blocks of Catholic University with the Brookland Metro a few blocks to the North.
22,2 Star,C,2824 12th St NE,NE,Washington,DC,20017,38.9263162,-76.9907974,,,1,1,1,1,850,1000,15,,,,,,,3,17414,6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3 Star,C,4801 Connecticut Ave NW,NW,Washington,DC,200082207,38.9524276,-77.0678759,1400,2300,0,2,1,1,433,833,194,,,,,,,9,186849,49301,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BEAUTIFUL LARGE Apartments with Hardwood Floors and ALL UTILITIES INCLUDED on Connecticut Avenue, N.W. This light and bright Art Deco building has 24 hour front desk, Roof top deck w/ hot tub, Fitness Center, Sports Court, Party Room and Parking. Located five blocks north of the Metro Redline Van Ness/UDC station and within a close proximity to Tenleytown- AU Metro as well as both American University, American University Law and Howard University School of Law. Housing Choice Vouchers welcome where rental amounts are within limits. Se aceptat vales de eleccion de vivienda mietas queel monto renta estw conforme al del vale. Take a tour 7 days a week from 9:00 a.m. to 7:00 p.m."
24,2 Star,C,3725 Harbor Rd,,Chesapeake Beach,MD,20732,38.6892366,-76.5387741,,,0,0,,,,,10,,,,,,,2,10320,16552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2 Star,C,6980 Maple St NW,NW,Washington,DC,20012,38.9754899,-77.0150328,,,0,0,,,,,18,,,,,,,3,18999,15505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3 Star,B,2001 Southampton St,,Woodbridge,VA,22191,38.6370777,-77.2743429,976,1183,1,2,1,2,566,895,128,,,,,,,3,146022,159517,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apartments feature wall to wall carpeting, all electric kitchens with dishwashers, individually controlled heating and air conditioning, washer and dryer hook ups and available balconies. Community areas include a large community room with a kitchen for resident functions or large group entertaining, resident gardens and a laundry facility."
27,2 Star,C,6401 14th St NW,NW,Washington,DC,20012,38.9678163,-77.0330065,900,1140,0,2,1,1,400,975,20,,,,,,,2,14158,15930,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,??? 6401 14th Street NW Washington DC 20012
28,3 Star,B,800 3rd St NE,NE,Washington,DC,20002,38.900484,-77.002272,,,0,0,,,,,44,,,,,,,4,123628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3 Star,B,1201 N Garfield St,,Arlington,VA,222016808,38.8866856,-77.0936615,,,0,0,,,,,309,,,,,,,10,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2 Star,C,1350 Fairmont St NW,NW,Washington,DC,20009,38.9241806,-77.0318497,,,1,3,1,1,569,900,80,,,,,2003,2003,4,84452,58462,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,2 Star,C,2960 Mills Ave NE,NE,Washington,DC,20018,38.9291436,-76.974664,,,0,0,,,,,6,,,,,,,2,3590,3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3 Star,C,3339 Mount Pleasant St NW,NW,Washington,DC,20010,38.933422,-77.040347,1490,1700,0,1,1,1,360,490,126,12,12,,,,,3,86397,,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Welcome to Park Pleasant located off 16th Street in the District of Columbia. Beautifully landscaped, this comfortable, sought-after community is convenient to Adams Morgan, is within walking distance of the Columbia Heights Metro Station, and is four blocks the new Target and Staples! Park Pleasant offers affordable, spacious studios, one bedroom and one bedroom/den apartments. So don't delay, call or visit Park Pleasant today!"
33,3 Star,C,4500 S Four Mile Run Dr,,Arlington,VA,22204,38.853921,-77.105837,,,1,2,1,2,604,1395,408,,,,,,,13,461362,460429,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,3 Star,B,1932 9th St NW,NW,Washington,DC,200014108,38.916458,-77.024315,,,1,1,1,1,,,6,,,,2015,,,4,7500,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,3 Star,B,407 Tulip Ave,,Takoma Park,MD,20912,38.9757288,-77.0113671,,,0,0,,,,,12,,,,,,,3,12492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4 Star,A,4850 Connecticut Ave NW,NW,Washington,DC,200085941,38.9529106,-77.0688456,1458,2407,0,2,1,2,396,1083,518,,,,,,,12,415200,109771,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"??? in Washington, DC offers a choice of vintage-style, mid-rise apartments with old-world charm or modern, high-rise living. Located right on Connecticut Avenue, you'll have the Metrobus at your front door and will be walking distance to Van Ness Metro. Enjoy the nearby jogging and biking trails at Rock Creek Park or stay home and enjoy our outdoor swimming pool with sundeck, heated indoor pool, state-of-the-art fitness center, tennis courts and concierge service. Our spacious apartments include premium appliances, hardwood floors and large picture windows. All utilities are included except electricity."
